question,ground_truth,query_type,source_doc
Why does increasing K improve recall but hurt precision?,Increasing K retrieves more chunks improving the chance of including all relevant content but also increases the number of irrelevant chunks in the context window. More irrelevant chunks add noise consume tokens and can degrade generation quality.,factual,rag_retrieval_optimization
What is hybrid search and when does it outperform pure dense retrieval?,Hybrid search combines dense vector similarity with sparse keyword search such as BM25. It outperforms pure dense retrieval on queries involving product names error codes or exact identifiers that may not cluster semantically with their relevant documents.,factual,rag_retrieval_optimization
What are the four primary RAGAS metrics and what failure mode does each target?,"Faithfulness detects hallucination by checking if answer claims are supported by retrieved context. Answer Relevancy detects irrelevant or incomplete responses. Context Precision detects retrieval noise by measuring what fraction of retrieved chunks are relevant. Context Recall detects retrieval gaps by measuring what fraction of ground truth claims are covered by retrieved chunks.",summary,rag_evaluation
How does RAGAS calculate faithfulness?,RAGAS decomposes the answer into atomic claims using an LLM. Each claim is independently verified against the retrieved context chunks. Faithfulness equals the number of supported claims divided by the total number of claims.,factual,rag_evaluation
Why do summary queries produce lower Answer Relevancy scores than factual queries?,For broad summary queries a good answer is long and multi-faceted. Synthetic questions generated from this answer cover many sub-topics reducing average similarity to the original short query. This is a known limitation of the metric not a pipeline failure.,factual,rag_evaluation
What is the recommended minimum dataset size for reliable RAGAS evaluation and what should the query distribution look like?,"A minimum of 20 samples is recommended. Fewer than 10 samples produce high-variance unreliable scores. A balanced dataset might include 8 factual, 4 comparison, 4 multi-hop, and 4 summary queries to exercise all retrieval and generation capabilities.",factual,rag_evaluation
What do strong RAG pipeline RAGAS scores look like across all four metrics?,"Strong pipelines achieve Faithfulness above 0.9, Answer Relevancy above 0.8 on factual queries, Context Precision above 0.75, and Context Recall above 0.8. Answer Relevancy on summary queries is expected lower (0.4 to 0.6) due to metric limitations with broad queries.",factual,rag_evaluation
How can you diagnose whether a RAG failure is in retrieval or generation from RAGAS scores?,When Faithfulness is high but Context Recall is low the pipeline generates accurate but incomplete answers because relevant information is not retrieved. When Context Recall is high but Faithfulness is low retrieval is working but the generator is hallucinating beyond the retrieved context.,factual,rag_evaluation
What specific HNSW parameters does Qdrant expose for tuning index quality and how do they affect recall?,Qdrant supports configurable m and ef_construction parameters for its HNSW index. The m parameter controls the number of bidirectional links per node affecting graph connectivity. The ef_construction parameter controls index build quality. Higher values improve recall at the cost of slower indexing.,detail_extraction,rag_fundamentals
What is the candidate pool size when using 3 query variants with K=8 and what happens to this pool before it reaches the LLM?,"With 3 query variants each retrieving K=8 chunks the candidate pool before deduplication contains up to 24 chunks. After deduplication this pool is passed to a reranker rather than directly to the LLM because the full 24-chunk context would exceed practical context window limits and degrade generation quality.",detail_extraction,rag_retrieval_optimization
What specific cross-encoder model family is recommended for English text reranking tasks?,The ms-marco-MiniLM series of cross-encoders are commonly used for English text reranking tasks.,detail_extraction,rag_retrieval_optimization
What dimensionality do OpenAI text-embedding-3-small vectors have and why might this model be unsuitable for some deployments?,"OpenAI's text-embedding-3-small produces 1536-dimensional vectors. It is a closed-source API-based model requiring an API key, making it unsuitable for fully offline deployments.",detail_extraction,rag_fundamentals
What fusion method is mentioned for combining dense and sparse retrieval scores in hybrid search?,Reciprocal Rank Fusion is mentioned as the fusion score method for combining dense vector similarity with sparse keyword search in hybrid search.,detail_extraction,rag_retrieval_optimization
How does Recall@K differ from RAGAS Context Recall in what they measure and how they compute it?,"Recall@K operates at the sentence level measuring what fraction of relevant sentences appear in the top K retrieved chunks. RAGAS Context Recall operates at the claim level using an LLM to decompose the ground truth answer into claims and checking if each claim is supported by the retrieved context. Context Recall requires a ground truth answer making it a reference-based metric while Recall@K does not.",comparison,rag_evaluation+rag_retrieval_optimization
"If a pipeline retrieves many relevant chunks but the generator still hallucinates, which RAGAS metrics would be high and which would be low and why?","Context Recall and Context Precision would both be high because retrieval is working correctly and returning relevant chunks. However Faithfulness would be low because the generator is making claims not supported by the retrieved context. Answer Relevancy could go either way depending on whether the hallucinated content is on-topic.",multi_hop,rag_evaluation
"A developer is building a fully offline RAG system that must filter documents by user_id and handle 50 million chunks. Which vector store from the documents would you recommend and which would you rule out, with specific reasons?","FAISS should be ruled out because it runs entirely in memory and does not support metadata filtering natively making user_id scoping impossible. Pinecone should be ruled out because it is a cloud-managed service not suitable for fully offline deployments. OpenAI embeddings should also be avoided since they require an API key. Qdrant would be the best fit because it supports payload-based filtering by metadata fields like user_id and can be deployed locally via Docker. Weaviate could also work as it is open-source and supports hybrid search but the documents provide less detail on its filtering capabilities.",multi_hop,rag_fundamentals
Explain the complete data flow from a user typing a query to receiving a final answer in a RAG system that uses query rewriting multi-query expansion reranking and RAGAS evaluation.,"The user query is first rewritten by an LLM into a cleaner retrieval-friendly form. The rewritten query is then expanded into multiple reformulations. Each variant is embedded and used to retrieve chunks independently from the vector store. The retrieved sets are merged and deduplicated by chunk ID or content hash. The deduplicated pool is passed to a cross-encoder reranker which reorders chunks by query-specific relevance scores. The top-K reranked chunks are formatted into a prompt and passed to the generator LLM to produce a grounded answer. The answer along with the retrieved contexts and the original question can then be evaluated using RAGAS metrics: faithfulness checks answer claims against context, answer relevancy checks if the answer addresses the question, context precision checks retrieval signal-to-noise, and context recall checks if ground truth claims are covered.",summary,rag_fundamentals+rag_retrieval_optimization+rag_evaluation
What common configuration is used for fixed-size chunking in terms of token count and overlap?,A common fixed-size chunking configuration uses 512-token chunks with a 64-token overlap to preserve cross-boundary context.,detail_extraction,rag_fundamentals
Which chunking method does LangChain's RecursiveCharacterTextSplitter implement and in what priority order does it split?,"LangChain's RecursiveCharacterTextSplitter implements recursive character splitting. It splits on natural boundaries in priority order: paragraphs first, then sentences, then words, then characters.",detail_extraction,rag_fundamentals
What does a faithfulness score of 0.5 specifically mean according to the evaluation document?,A faithfulness score of 0.5 means half of the statements in the answer lack contextual support from the retrieved chunks.,detail_extraction,rag_evaluation
What does it mean when RAGAS Context Precision is 1.0 versus 0.5?,A Context Precision score of 1.0 means every retrieved chunk contributed useful information to answering the question. A score of 0.5 means half the retrieved chunks were irrelevant noise.,detail_extraction,rag_evaluation
How does reranking affect the precision-recall tradeoff and what assumption must hold for it to work?,Reranking improves the precision of the top K results without reducing recall by promoting the most relevant chunks to the top of the retrieved set. This allows using a smaller effective context window without sacrificing recall. The assumption is that the candidate pool before reranking is large enough to contain all relevant chunks.,comparison,rag_retrieval_optimization
Compare how Pinecone and Weaviate differ in their architecture and what unique capability Weaviate offers that Pinecone does not.,"Pinecone is a fully managed cloud-native vector database with automatic scaling that supports namespaces for logical data separation. Weaviate is an open-source vector database that integrates directly with embedding models. Weaviate uniquely supports hybrid search combining dense vector similarity with BM25 keyword search which Pinecone does not offer.",comparison,rag_fundamentals
What role does the LLM judge play in RAGAS evaluation and why is using a separate judge model recommended?,RAGAS uses an LLM judge to evaluate each metric. The judge LLM does not need to be the same model as the generator. Using a separate capable judge model such as GPT-4 reduces bias from self-evaluation where the generator would be scoring its own outputs.,factual,rag_evaluation
What is the difference between the RAGAS version of Context Recall and standard Recall@K in terms of requiring ground truth?,Context Recall is a reference-based metric that requires a ground truth answer to function. RAGAS decomposes the ground truth answer into claims and checks if each is supported by retrieved chunks. Recall@K does not require a ground truth answer and instead measures at the sentence level whether relevant sentences from the source document appear in the retrieved chunks.,comparison,rag_evaluation+rag_retrieval_optimization
How does GraphRAG handle knowledge graph construction for multi-hop reasoning queries?,The documents do not contain information about GraphRAG or knowledge graph construction. This topic is not covered in the source material.,out_of_scope,none
What is the recommended learning rate schedule for fine-tuning embedding models on domain-specific data?,The documents do not contain information about fine-tuning embedding models or learning rate schedules. The source material discusses pre-trained embedding models but not the training or fine-tuning process.,out_of_scope,none
How does ColBERT's late interaction mechanism differ from standard bi-encoder retrieval?,The documents do not contain information about ColBERT or late interaction mechanisms. The source material discusses bi-encoders and cross-encoders but not ColBERT specifically.,out_of_scope,none
What token limits does GPT-4 impose on context window size and how does this affect RAG chunk selection?,The documents do not contain specific information about GPT-4 token limits or context window sizes. The source material discusses context window constraints in general terms but does not specify limits for any particular LLM.,out_of_scope,none
How does RAGAS handle evaluating multi-turn conversational RAG where the answer depends on prior conversation history?,The documents do not contain information about multi-turn conversational RAG evaluation. RAGAS metrics as described evaluate single question-answer pairs without conversation history context.,out_of_scope,none
What vector quantization techniques can be used to reduce Qdrant memory usage for large-scale deployments?,The documents do not contain information about vector quantization techniques. The source material discusses Qdrant's features like HNSW indexing and payload filtering but does not cover quantization or compression methods.,out_of_scope,none
